objectid,parentid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
background01,,background.jpg,,Background,image/jpeg,,,,,yes,photographs,EDUC; ,,,,,,,,,,,Image;StillImage,eng,
proof01,,error404.jpg,,github Error 404,image/jpeg,"Screenshot of the pop up error 404 when first trying to ""deploy"" the website.",Luca D'Angelo,,2025,yes,photographs,EDUC; ,"Vaughan, Ontario",,,,,,,,,,Image;StillImage,eng,
proof02,,collection.jpg,,CollectionBuilder Tutorial,image/jpeg,Screenshot of the notes used to re-learn github.,Luca D'Angelo,,2025,yes,photographs,EDUC; ,"Vaughan, Ontario",,,,,,,,,,Image;StillImage,eng,
chat01,,chatgpt1.jpg,,Original Prompt,image/jpeg,,Luca D'Angelo,,2025,yes,photographs,EDUC; AI; ChatGPT,,,,,,,,,,,Image;StillImage,eng,
chat02,,chatgpt2.jpg,,1st Correction Prompt,image/jpeg,,Luca D'Angelo,,2025,yes,photographs,EDUC; AI; ChatGPT,,,,,,,,,,,Image;StillImage,eng,
chat03,,chatgpt3.jpg,,2nd Correction Prompt,image/jpeg,,Luca D'Angelo,,2025,yes,photographs,EDUC; AI; ChatGPT,,,,,,,,,,,Image;StillImage,eng,
chat04,,chatgpt4.jpg,,Probing Prompt,image/jpeg,,Luca D'Angelo,,2025,yes,photographs,EDUC; AI; ChatGPT,,,,,,,,,,,Image;StillImage,eng,
imovie01,,imovie01.png,,My iMovie Documenty Start-up,image/png,,Luca D'Angelo,,2025,yes,photographs,EDUC; ,"Vaughan, Ontario",,,,,,,,,,Image;StillImage,eng,
imovie02,,imovie02.png,,iMovie Titles Selection,image/png,,Luca D'Angelo,,2025,yes,photographs,EDUC; ,"Vaughan, Ontario",,,,,,,,,,Image;StillImage,eng,
imovie03,,imovie03.png,,iMovie Access to Sounds/Music,image/png,,Luca D'Angelo,,2025,yes,photographs,EDUC; ,"Vaughan, Ontario",,,,,,,,,,Image;StillImage,eng,
imovie04,,imovie04.png,,iMovie Sound Editing,image/png,,Luca D'Angelo,,2025,yes,photographs,EDUC; ,"Vaughan, Ontario",,,,,,,,,,Image;StillImage,eng,
imovie05,,imovie05.png,,iMovie Transitions,image/png,,Luca D'Angelo,,2025,yes,photographs,EDUC; ,"Vaughan, Ontario",,,,,,,,,,Image;StillImage,eng,
group01,,group1.jpg,,Group Work on Week 8,image/jpeg,Picture of the work done in groups on week 8 for Video Games and Education,Luca D'Angelo,,2025,yes,photographs,EDUC; Gaming; Education,"Vaughan, Ontario",,,,,,,,,,Image;StillImage,eng,
battle02,,battle2.png,,Monte Grappa Campaign,image/png,,Luca D'Angelo,,2025,yes,photographs,EDUC; Gaming; Education,"Vaughan, Ontario",,,,,,,,,,Image;StillImage,eng,
idea01,,idea1.jpg,,Genre Card,image/jpeg,,Luca D'Angelo,,2025,yes,photographs,EDUC; Ideation Deck,"Vaughan, Ontario",,,,,,,,,,Image;StillImage,eng,
idea02,,idea2.jpg,,Ideas Card,image/jpeg,,Luca D'Angelo,,2025,yes,photographs,EDUC; Ideation Deck,"Vaughan, Ontario",,,,,,,,,,Image;StillImage,eng,
idea03,,idea3.jpg,,Technique Card,image/jpeg,,Luca D'Angelo,,2025,yes,photographs,EDUC; Ideation Deck,"Vaughan, Ontario",,,,,,,,,,Image;StillImage,eng,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
imovie,,imovie.mp4,,The Land of Canada,video/mp4,My short video I created on iMovie to learn the basics as we move into creating a multimedia film.,Luca D'Angelo,,2025,yes,video,EDUC; video media,"Vaughan, Ontario",,,,,,,,,,Video; mp4,eng,
imovie2,,final.mp4,,The Ex-Duffield Devils,video/mp4,My trailer-style video on iMovie on an ASHL Hockey team.,Luca D'Angelo,,2025,yes,video,EDUC; video media,"Vaughan, Ontario",,,,,,,,,,Video; mp4,eng,
battle01,,battlefield-1.mp4,,BATTLEFIELD 1 - Opening / Storm of Steel,video/mp4,"Battlefield 1 Opening scene and the opening mission, Storm of Steel in Battlefield 1.",Generic Gaming,,2016,yes,video,EDUC; ,,,,,,,,,,,Video; mp4,eng,
comicPDF,,EDU 3610 Comic - Final - The language of Learning by Luca D'Angelo.pdf,,The Language of Learning by Luca D'Angelo,application/pdf,,Luca D'Angelo,,2025,yes,book,EDUC; L2 Learning: Multimodal Learning,"Vaughan, Ontario",,,,,,,,,, Text; pdf,eng,
remotePDF1,,.pdf,,,application/pdf,,,,,,collection,,,,,,,,,,,, Text; pdf,eng,